Longitude,Latitude,Pixel,Scan
23.7723371,10.6250266,0,0
23.7960788,10.6235255,100,0
23.8198178,10.6220278,200,0
23.843554,10.6205333,300,0
23.8672877,10.6190421,400,0
23.891019,10.6175541,500,0
23.9147482,10.6160694,600,0
23.9384753,10.6145879,700,0
23.9622006,10.6131096,800,0
23.9859241,10.6116346,900,0
24.0096462,10.6101627,1000,0
24.0333669,10.608694,1100,0
24.0570865,10.6072285,1200,0
24.080805,10.6057662,1300,0
24.1045227,10.604307,1400,0
24.1282397,10.602851,1500,0
24.1519562,10.6013981,1600,0
24.1756724,10.5999484,1700,0
24.1993883,10.5985017,1800,0
24.2231043,10.5970582,1900,0
24.2468205,10.5956177,2000,0
24.2705369,10.5941804,2100,0
24.2942539,10.5927461,2200,0
24.3179715,10.5913149,2300,0
24.34169,10.5898867,2400,0
24.3654095,10.5884616,2500,0
24.3891301,10.5870395,2600,0
24.4128521,10.5856205,2700,0
24.4365756,10.5842044,2800,0
24.4603008,10.5827914,2900,0
24.4840278,10.5813814,3000,0
24.5077568,10.5799744,3100,0
24.531488,10.5785703,3200,0
24.5552216,10.5771692,3300,0
24.5789577,10.5757711,3400,0
24.6026964,10.574376,3500,0
24.626438,10.5729838,3600,0
24.6501827,10.5715945,3700,0
24.6739305,10.5702081,3800,0
24.6976817,10.5688247,3900,0
24.7211988,10.567458,3999,0
23.7720414,10.6090613,0,100
23.7957823,10.6075606,100,100
23.8195204,10.6060631,200,100
23.8432558,10.604569,300,100
23.8669887,10.6030781,400,100
23.8907192,10.6015905,500,100
23.9144475,10.6001061,600,100
23.9381738,10.5986249,700,100
23.9618983,10.597147,800,100
23.9856211,10.5956723,900,100
24.0093423,10.5942008,1000,100
24.0330623,10.5927325,1100,100
24.056781,10.5912673,1200,100
24.0804987,10.5898054,1300,100
24.1042156,10.5883466,1400,100
24.1279318,10.5868909,1500,100
24.1516476,10.5854384,1600,100
24.1753629,10.583989,1700,100
24.1990781,10.5825427,1800,100
24.2227933,10.5810996,1900,100
24.2465087,10.5796595,2000,100
24.2702244,10.5782225,2100,100
24.2939406,10.5767886,2200,100
24.3176575,10.5753578,2300,100
24.3413752,10.57393,2400,100
24.3650939,10.5725053,2500,100
24.3888138,10.5710836,2600,100
24.412535,10.569665,2700,100
24.4362578,10.5682493,2800,100
24.4599822,10.5668367,2900,100
24.4837085,10.5654271,3000,100
24.5074368,10.5640205,3100,100
24.5311672,10.5626168,3200,100
24.5549,10.5612162,3300,100
24.5786354,10.5598185,3400,100
24.6023734,10.5584238,3500,100
24.6261143,10.557032,3600,100
24.6498582,10.5556431,3700,100
24.6736053,10.5542572,3800,100
24.6973558,10.5528742,3900,100
24.7208722,10.551508,3999,100
23.7717319,10.5931924,0,200
23.7954723,10.5916923,100,200
23.8192098,10.5901955,200,200
23.8429447,10.5887019,300,200
23.866677,10.5872117,400,200
23.8904069,10.5857246,500,200
23.9141347,10.5842409,600,200
23.9378604,10.5827603,700,200
23.9615843,10.581283,800,200
23.9853066,10.5798089,900,200
24.0090273,10.5783381,1000,200
24.0327467,10.5768704,1100,200
24.0564649,10.5754059,1200,200
24.0801821,10.5739445,1300,200
24.1038984,10.5724863,1400,200
24.1276141,10.5710313,1500,200
24.1513293,10.5695794,1600,200
24.1750441,10.5681307,1700,200
24.1987588,10.5666851,1800,200
24.2224735,10.5652426,1900,200
24.2461884,10.5638031,2000,200
24.2699036,10.5623668,2100,200
24.2936193,10.5609336,2200,200
24.3173356,10.5595034,2300,200
24.3410529,10.5580763,2400,200
24.3647711,10.5566522,2500,200
24.3884905,10.5552312,2600,200
24.4122112,10.5538133,2700,200
24.4359335,10.5523983,2800,200
24.4596574,10.5509864,2900,200
24.4833832,10.5495774,3000,200
24.507111,10.5481715,3100,200
24.530841,10.5467686,3200,200
24.5545734,10.5453686,3300,200
24.5783083,10.5439716,3400,200
24.6020458,10.5425776,3500,200
24.6257863,10.5411865,3600,200
