pyramid_level_index,pyramid_level_name,scale_factor,effective_gsd_m,matcher,status,candidate_matches,inliers,inlier_ratio,mean_reprojection_error_px,median_reprojection_error_px,p95_reprojection_error_px,rmse_px,homography_condition_number,homography_determinant,corner_projection_valid,is_geometrically_stable,spatial_coverage_ratio,processing_time_sec,dominant_failure
0,Level_0_Original,1.0,0.26,SIFT,GEOMETRICALLY_DEGENERATE,31,8,0.2581,3801.972,3877.757,3935.836,3801.972,57476970.22,0.0202,False,False,0.1282,0.3504,GEOMETRIC_FAILURE
0,Level_0_Original,1.0,0.26,ORB,INSUFFICIENT_EVIDENCE,0,0,0.0,999.0,999.0,999.0,999.0,1.0,0.0,False,False,0.0,2.199,FEATURE_SPARSITY_FAILURE
0,Level_0_Original,1.0,0.26,SUPERPOINT,GEOMETRICALLY_DEGENERATE,34,8,0.2353,3692.909,3878.808,3945.551,3692.909,649613355.9,-0.0329,True,False,0.0978,0.1816,GEOMETRIC_FAILURE
0,Level_0_Original,1.0,0.26,LOFTR,GEOMETRICALLY_DEGENERATE,40,8,0.2,0.672,0.637,1.267,0.672,1450958625.04,-0.0029,True,False,0.0743,0.2179,GEOMETRIC_FAILURE
0,Level_0_Original,1.0,0.26,RIFT,GEOMETRICALLY_DEGENERATE,56,9,0.1607,1310.708,1.785,3944.821,1310.708,8774702158.98,-0.0043,True,False,0.2426,0.1931,GEOMETRIC_FAILURE
1,Level_1,2.0,0.52,SIFT,GEOMETRICALLY_DEGENERATE,37,6,0.1622,1939.324,1939.291,3878.595,1939.324,57780976136.97,-0.0,True,False,0.1343,0.1659,GEOMETRIC_FAILURE
1,Level_1,2.0,0.52,ORB,INSUFFICIENT_EVIDENCE,0,0,0.0,999.0,999.0,999.0,999.0,1.0,0.0,False,False,0.0,0.049,FEATURE_SPARSITY_FAILURE
1,Level_1,2.0,0.52,SUPERPOINT,GEOMETRICALLY_DEGENERATE,40,6,0.15,1898.461,2277.833,2278.291,1898.461,7709757275.41,-0.0001,True,False,0.1455,0.1946,GEOMETRIC_FAILURE
1,Level_1,2.0,0.52,LOFTR,GEOMETRICALLY_DEGENERATE,47,9,0.1915,1048.979,3.004,2473.387,1048.979,190469778604.9,-0.0001,True,False,0.1503,0.1963,GEOMETRIC_FAILURE
1,Level_1,2.0,0.52,RIFT,GEOMETRICALLY_DEGENERATE,55,5,0.0909,999.0,999.0,999.0,999.0,1.0,0.0,False,False,0.1398,0.179,GEOMETRIC_FAILURE
2,Level_2,4.0,1.04,SIFT,GEOMETRICALLY_DEGENERATE,38,7,0.1842,3919.096,3912.119,3950.2,3919.096,59673362733.51,-0.0031,False,False,0.1752,0.1632,GEOMETRIC_FAILURE
2,Level_2,4.0,1.04,ORB,INSUFFICIENT_EVIDENCE,0,0,0.0,999.0,999.0,999.0,999.0,1.0,0.0,False,False,0.0,0.0336,FEATURE_SPARSITY_FAILURE
2,Level_2,4.0,1.04,SUPERPOINT,GEOMETRICALLY_DEGENERATE,39,6,0.1538,0.22,0.292,0.298,0.22,39746815773.68,-0.0001,False,False,0.0329,0.186,GEOMETRIC_FAILURE
2,Level_2,4.0,1.04,LOFTR,GEOMETRICALLY_DEGENERATE,45,7,0.1556,0.142,0.204,0.211,0.142,60067095666.28,-0.0001,False,False,0.0538,0.1887,GEOMETRIC_FAILURE
2,Level_2,4.0,1.04,RIFT,GEOMETRICALLY_DEGENERATE,66,10,0.1515,676.377,1.504,3429.622,676.377,14084119956.52,-0.0039,False,False,0.2193,0.1676,GEOMETRIC_FAILURE
3,Level_3,8.0,2.08,SIFT,GEOMETRICALLY_DEGENERATE,40,9,0.225,1991.881,2277.592,3911.414,1991.881,8700233502.11,0.0003,False,False,0.1736,0.1335,GEOMETRIC_FAILURE
3,Level_3,8.0,2.08,ORB,INSUFFICIENT_EVIDENCE,0,0,0.0,999.0,999.0,999.0,999.0,1.0,0.0,False,False,0.0,0.0331,FEATURE_SPARSITY_FAILURE
3,Level_3,8.0,2.08,SUPERPOINT,GEOMETRICALLY_DEGENERATE,52,11,0.2115,3209.817,3911.041,3966.198,3209.817,11287958406.64,0.0031,True,False,0.2177,0.1861,GEOMETRIC_FAILURE
3,Level_3,8.0,2.08,LOFTR,INSUFFICIENT_EVIDENCE,53,3,0.0566,999.0,999.0,999.0,999.0,1.0,0.0,False,False,0.0,0.2033,GEOMETRIC_FAILURE
3,Level_3,8.0,2.08,RIFT,GEOMETRICALLY_DEGENERATE,66,10,0.1515,1174.1,1.377,3911.695,1174.1,1567827346.19,-0.0099,True,False,0.3028,0.1791,GEOMETRIC_FAILURE
4,Level_4,16.0,4.16,SIFT,INSUFFICIENT_EVIDENCE,28,2,0.0714,999.0,999.0,999.0,999.0,1.0,0.0,False,False,0.4319,0.1391,GEOMETRIC_FAILURE
4,Level_4,16.0,4.16,ORB,INSUFFICIENT_EVIDENCE,0,0,0.0,999.0,999.0,999.0,999.0,1.0,0.0,False,False,0.0,0.0243,FEATURE_SPARSITY_FAILURE
4,Level_4,16.0,4.16,SUPERPOINT,GEOMETRICALLY_DEGENERATE,40,7,0.175,3363.69,3908.054,3974.576,3363.69,782967918.72,-32.2347,True,False,0.2335,0.1453,GEOMETRIC_FAILURE
4,Level_4,16.0,4.16,LOFTR,GEOMETRICALLY_DEGENERATE,49,7,0.1429,2243.236,3908.864,3949.823,2243.236,3647090279.5,-0.001,True,False,0.1565,0.164,GEOMETRIC_FAILURE
4,Level_4,16.0,4.16,RIFT,GEOMETRICALLY_DEGENERATE,50,11,0.22,918.682,1.741,3908.489,918.682,22866301202.49,-0.0635,False,False,0.3022,0.147,GEOMETRIC_FAILURE
5,Level_5_TMC_Equivalent,23.34615,6.07,SIFT,GEOMETRICALLY_DEGENERATE,38,10,0.2632,3297.378,3910.122,3913.813,3297.378,148083155.65,0.0014,True,False,0.291,0.1008,GEOMETRIC_FAILURE
